,Date,Ozone AQI Value,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019),Date of 20-year High,Date of 20-year Low
0,1/1/20,41,Alpine,06-073-1006,AQS,54,32,43.4,1/1/18,1/1/02
1,1/2/20,40,Alpine,06-073-1006,AQS,48,34,43.4,1/2/18,1/2/02
2,1/3/20,40,Alpine,06-073-1006,AQS,45,31,41.4,1/3/15,1/3/02
3,1/4/20,43,Alpine,06-073-1006,AQS,48,33,40.8,1/4/01,1/4/02
4,1/5/20,44,Alpine,06-073-1006,AQS,44,31,37.8,1/5/16,1/5/11
5,1/6/20,43,Alpine,06-073-1006,AQS,46,31,40,1/6/01,1/6/05
6,1/7/20,39,Alpine,06-073-1006,AQS,47,33,39.8,1/7/01,1/7/09
7,1/8/20,37,Alpine,06-073-1006,AQS,49,32,37.2,1/8/04,1/8/02
8,1/9/20,36,Donovan,06-073-1014,AQS,44,28,38,1/9/18,1/9/05
9,1/10/20,35,Alpine,06-073-1006,AQS,46,29,39.4,1/10/02,1/10/05
10,1/11/20,40,Alpine,06-073-1006,AQS,61,21,37.4,1/11/14,1/11/12
11,1/12/20,39,Camp Pendleton,06-073-1008,AQS,64,30,41,1/12/14,1/12/11
12,1/13/20,40,Alpine,06-073-1006,AQS,46,31,41.8,1/13/16,1/13/10
13,1/14/20,43,Camp Pendleton,06-073-1008,AQS,50,35,42.4,1/14/18,1/14/15
14,1/15/20,47,Camp Pendleton,06-073-1008,AQS,51,33,41.6,1/15/18,1/15/04
15,1/16/20,43,Alpine,06-073-1006,AQS,54,34,42.6,1/16/18,1/16/13
16,1/17/20,39,Camp Pendleton,06-073-1008,AQS,48,32,41.8,1/17/18,1/17/19
17,1/18/20,42,Alpine,06-073-1006,AQS,58,32,41.6,1/18/04,1/18/00
18,1/19/20,42,Alpine,06-073-1006,AQS,49,32,40.8,1/19/04,1/19/01
19,1/20/20,39,Alpine,06-073-1006,AQS,48,29,41.2,1/20/03,1/20/00
20,1/21/20,37,Camp Pendleton,06-073-1008,AQS,49,31,44.2,1/21/15,1/21/12
21,1/22/20,40,Alpine,06-073-1006,AQS,49,33,42,1/22/14,1/22/09
22,1/23/20,33,Camp Pendleton,06-073-1008,AQS,46,21,42.8,1/23/17,1/23/09
23,1/24/20,38,Camp Pendleton,06-073-1008,AQS,101,23,54,1/24/19,1/24/13
24,1/25/20,44,Camp Pendleton,06-073-1008,AQS,45,23,42.2,1/25/07,1/25/13
25,1/26/20,42,San Diego - Sherman Elementary School,06-073-1026,AQS,47,31,43,1/26/07,1/26/01
26,1/27/20,41,Camp Pendleton,06-073-1008,AQS,48,33,42.4,1/27/03,1/27/15
27,1/28/20,43,Alpine,06-073-1006,AQS,49,36,43,1/28/14,1/28/13
28,1/29/20,41,Alpine,06-073-1006,AQS,84,36,42.2,1/29/14,1/29/02
29,1/30/20,40,Alpine,06-073-1006,AQS,54,28,38.6,1/30/06,1/30/15
30,1/31/20,41,Alpine,06-073-1006,AQS,48,32,41.2,1/31/17,1/31/03
