,Date,PM2.5 AQI Value,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019),Date of 20-year High,Date of 20-year Low
0,1/1/20,81,El Cajon - Lexington Elementary School,06-073-1022,AQS,165,54,99.4,1/1/14,1/1/17
1,1/2/20,64,Pala Airpad,06-073-1201,AQS,122,35,68.4,1/2/02,1/2/06
2,1/3/20,77,Pala Airpad,06-073-1201,AQS,114,31,73.8,1/3/02,1/3/05
3,1/4/20,64,El Cajon - Lexington Elementary School,06-073-1022,AQS,111,45,69.8,1/4/01,1/4/05
4,1/5/20,68,El Cajon - Lexington Elementary School,06-073-1022,AQS,111,14,58.4,1/5/01,1/5/08
5,1/6/20,63,Pala Airpad,06-073-1201,AQS,98,28,59.6,1/6/02,1/6/08
6,1/7/20,42,El Cajon - Lexington Elementary School,06-073-1022,AQS,114,33,53.2,1/7/01,1/7/08
7,1/8/20,59,Donovan,06-073-1014,AQS,118,25,59,1/8/04,1/8/05
8,1/9/20,46,Pala Airpad,06-073-1201,AQS,133,9,60,1/9/00,1/9/05
9,1/10/20,46,Pala Airpad,06-073-1201,AQS,138,20,53.8,1/10/00,1/10/05
10,1/11/20,48,El Cajon - Lexington Elementary School,06-073-1022,AQS,138,19,56.6,1/11/00,1/11/05
11,1/12/20,54,Pala Airpad,06-073-1201,AQS,107,35,58.8,1/12/14,1/12/05
12,1/13/20,58,Pala Airpad,06-073-1201,AQS,102,48,55.4,1/13/00,1/13/09
13,1/14/20,62,Pala Airpad,06-073-1201,AQS,107,34,58.6,1/14/01,1/14/08
14,1/15/20,72,Camp Pendleton,06-073-1008,AQS,82,40,54.4,1/15/01,1/15/07
15,1/16/20,76,Pala Airpad,06-073-1201,AQS,109,25,51.8,1/16/00,1/16/19
16,1/17/20,87,Pala Airpad,06-073-1201,AQS,124,47,67.2,1/17/03,1/17/08
17,1/18/20,51,El Cajon - Lexington Elementary School,06-073-1022,AQS,122,33,59.6,1/18/04,1/18/19
18,1/19/20,61,El Cajon - Lexington Elementary School,06-073-1022,AQS,120,37,54.2,1/19/04,1/19/00
19,1/20/20,68,Donovan,06-073-1014,AQS,105,39,61.6,1/20/02,1/20/10
20,1/21/20,57,Pala Airpad,06-073-1201,AQS,95,25,60.6,1/21/01,1/21/10
21,1/22/20,49,Donovan,06-073-1014,AQS,114,30,52.8,1/22/03,1/22/10
22,1/23/20,57,Donovan,06-073-1014,AQS,138,34,48.8,1/23/03,1/23/17
23,1/24/20,63,Donovan,06-073-1014,AQS,99,16,53.4,1/24/03,1/24/08
24,1/25/20,74,Donovan,06-073-1014,AQS,80,33,52,1/25/02,1/25/08
25,1/26/20,70,Pala Airpad,06-073-1201,AQS,84,37,52.4,1/26/10,1/26/15
26,1/27/20,89,Pala Airpad,06-073-1201,AQS,75,23,58.4,1/27/16,1/27/08
27,1/28/20,74,Pala Airpad,06-073-1201,AQS,89,27,62.8,1/28/00,1/28/08
28,1/29/20,58,Donovan,06-073-1014,AQS,92,33,66.4,1/29/03,1/29/18
29,1/30/20,51,Donovan,06-073-1014,AQS,123,37,57.6,1/30/03,1/30/18
30,1/31/20,37,San Diego - Sherman Elementary School,06-073-1026,AQS,82,20,57.8,1/31/19,1/31/07
31,2/1/20,45,El Cajon - Lexington Elementary School,06-073-1022,AQS,106,43,61.6,2/1/12,2/1/16
32,2/2/20,37,Donovan,06-073-1014,AQS,87,31,52.2,2/2/02,2/2/05
33,2/3/20,48,Pala Airpad,06-073-1201,AQS,88,25,63.2,2/3/02,2/3/04
34,2/4/20,49,Pala Airpad,06-073-1201,AQS,110,27,58.2,2/4/15,2/4/19
35,2/5/20,42,Donovan,06-073-1014,AQS,131,26,71,2/5/06,2/5/19
36,2/6/20,54,Donovan,06-073-1014,AQS,131,20,65.4,2/6/15,2/6/10
37,2/7/20,63,Donovan,06-073-1014,AQS,127,6,58.6,2/7/00,2/7/08
38,2/8/20,71,Donovan,06-073-1014,AQS,93,37,55,2/8/00,2/8/09
39,2/9/20,84,Pala Airpad,06-073-1201,AQS,99,27,58.4,2/9/07,2/9/09
40,2/10/20,63,Pala Airpad,06-073-1201,AQS,88,24,56.6,2/10/06,2/10/00
41,2/11/20,42,El Cajon - Lexington Elementary School,06-073-1022,AQS,87,13,56,2/11/18,2/11/05
42,2/12/20,53,Pala Airpad,06-073-1201,AQS,83,19,62.8,2/12/15,2/12/03
43,2/13/20,58,Donovan,06-073-1014,AQS,117,22,65,2/13/16,2/13/01
44,2/14/20,66,Donovan,06-073-1014,AQS,86,28,55.2,2/14/16,2/14/03
45,2/15/20,60,Pala Airpad,06-073-1201,AQS,110,32,47.8,2/15/02,2/15/19
46,2/16/20,64,Pala Airpad,06-073-1201,AQS,95,28,53.2,2/16/02,2/16/11
47,2/17/20,74,Donovan,06-073-1014,AQS,91,28,55.8,2/17/04,2/17/19
48,2/18/20,77,Donovan,06-073-1014,AQS,99,20,46.8,2/18/08,2/18/05
49,2/19/20,70,Pala Airpad,06-073-1201,AQS,143,14,75,2/19/18,2/19/05
50,2/20/20,73,Pala Airpad,06-073-1201,AQS,94,18,58.6,2/20/15,2/20/05
51,2/21/20,66,Donovan,06-073-1014,AQS,80,20,50.4,2/21/01,2/21/00
52,2/22/20,60,Pala Airpad,06-073-1201,AQS,76,15,45,2/22/16,2/22/04
53,2/23/20,57,Pala Airpad,06-073-1201,AQS,70,15,44.4,2/23/14,2/23/05
54,2/24/20,61,Pala Airpad,06-073-1201,AQS,77,20,44.8,2/24/12,2/24/00
55,2/25/20,65,Pala Airpad,06-073-1201,AQS,86,20,51,2/25/06,2/25/03
56,2/26/20,53,Pala Airpad,06-073-1201,AQS,92,17,54,2/26/06,2/26/17
57,2/27/20,35,San Diego - Sherman Elementary School,06-073-1026,AQS,90,12,47.4,2/27/00,2/27/17
58,2/28/20,31,El Cajon - Lexington Elementary School,06-073-1022,AQS,78,18,50.6,2/28/02,2/28/07
60,3/1/20,49,Pala Airpad,06-073-1201,AQS,98,28,47.6,3/1/16,3/1/15
61,3/2/20,60,Pala Airpad,06-073-1201,AQS,83,28,45.8,3/2/16,3/2/05
62,3/3/20,38,Donovan,06-073-1014,AQS,67,25,36.8,3/3/16,3/3/18
63,3/4/20,60,Donovan,06-073-1014,AQS,63,5,39.8,3/4/11,3/4/00
64,3/5/20,57,Pala Airpad,06-073-1201,AQS,81,21,54.4,3/5/17,3/5/05
